,T_ext,T_ext1,T_ext2
451,-1.1,0.078171869,-0.542549491
452,-1.1,-0.005559504,-0.606279411
453,-1.7,-0.088405076,-0.910752167
454,-1.7,-0.169901858,-1.028454713
455,-1.7,-0.252270326,-1.104761829
456,-2.2,-0.336241695,-1.373759063
457,-3.3,-0.424772296,-1.946432058
458,-2.2,-0.515789367,-1.691773476
459,-2.8,-0.613721115,-1.936113848
460,-2.8,-0.708853927,-2.032758213
461,-2.8,-0.799696274,-2.098811088
462,-2.8,-0.886784748,-2.151641944
463,-2.8,-0.96891522,-2.196169024
464,-2.8,-1.045507504,-2.234709801
465,-2.8,-1.116556827,-2.268604363
466,-2.2,-1.179507524,-2.04609283
467,-1.7,-1.231685055,-1.788503733
468,-1.7,-1.269545274,-1.712383232
469,-1.1,-1.290324145,-1.423804407
470,0,-1.295687817,-0.866278535
471,1.1,-1.279880153,-0.21625815
472,1.7,-1.234542758,0.276573022
473,-0.6,-1.170145982,-0.475944936
474,-2.2,-1.107117484,-1.295029153
475,-2.2,-1.072003184,-1.539122772
476,-2.2,-1.074470985,-1.660652525
477,-1.1,-1.096302267,-1.27271517
478,-1.1,-1.122329833,-1.189121936
479,-1.1,-1.140755153,-1.157224604
480,-1.1,-1.149533638,-1.141193743
481,-1.1,-1.153199212,-1.132116111
482,-1.1,-1.154395866,-1.126526512
483,-0.6,-1.152604927,-0.912306231
484,-0.6,-1.147142132,-0.848034873
485,-0.6,-1.136059661,-0.813900526
486,-0.6,-1.120825344,-0.791123021
487,-0.6,-1.107178484,-0.774297429
488,0.6,-1.089837802,-0.255832056
489,2.2,-1.056733632,0.576594714
490,5,-0.987539279,2.03916674
491,6.7,-0.865054364,3.26228696
492,8.3,-0.677155051,4.438797982
493,9.4,-0.427291269,5.414296402
494,10.6,-0.125989283,6.388300608
495,12.2,0.217381161,7.530022866
496,11.1,0.580772187,7.587798466
497,11.7,0.952219909,8.05970178
498,6.1,1.286352066,5.98007644
